,CLAVE SITIO,CLAVE MONITOREO,NOMBRE DEL SITIO,TIPO CUERPO DE AGUA,FECHA REALIZACIÓN,AÑO,SST,CF,E_COLI,OD%,DBO5,DQO,TOX_D48,TOX_V15
582,OCPNO4529,OCPNO4529-140822,RIO FUERTE 2,LÓTICO,2022-08-14,2022,18.4,7270.0,1616.0,59.5,4.24,10.0,1.0,1.0
583,OCPNO4525W1,OCPNO4525W1-140822,LOS MOCHIS  (A) AGUAS ABAJO,LÓTICO (HUMEDAL),2022-09-05,2022,84.7,24196.0,145.0,74.6,86.5,118.18,1.0,1.0
584,OCPNO4536,OCPNO4536-140822,PUENTE BAROTEN (EL FUERTE),LÓTICO (HUMEDAL),2022-08-14,2022,10.0,3255.0,399.0,109.3,2.0,10.0,1.0,1.0
585,OCPNO4537,OCPNO4537-140822,RIO FUERTE 3,LÓTICO (HUMEDAL),2022-08-14,2022,10.0,1607.0,98.0,107.2,2.0,10.0,1.0,1.0
586,OCPNO4538,OCPNO4538-140822,RIO FUERTE 4,LÓTICO (HUMEDAL),2022-08-14,2022,10.0,2481.0,52.0,93.1,2.0,10.0,1.0,1.0
587,OCPNO4550,OCPNO4550-140822,HIGUERA DE ZARAGOZA,LÓTICO (HUMEDAL),2022-09-09,2022,10.0,3255.0,211.0,46.4,2.0,12.66,1.0,1.0
588,OCPNO4555W1,OCPNO4555W1-070822,DESEMBOCADURA RIO SINALOA,LÓTICO - COSTERO,2022-08-03,2022,156.6,22470.0,520.0,60.5,6.5,10.08,1.0,1.0
589,OCPNO4552W1,OCPNO4552W1-140822,RH10-4 SINALOA,LÓTICO,2022-09-11,2022,17.4,3076.0,754.0,68.1,14.2,25.08,1.0,1.0
590,OCPNO4559,OCPNO4559-280822,PUENTE LA PALMA,LÓTICO,2022-10-30,2022,151.0,24196.0,24196.0,26.1,97.0,116.46,1.0,9.09
591,OCPNO4558,OCPNO4558-280822,PUENTE EL GUAMUCHILITO,LÓTICO,2022-10-30,2022,216.0,24196.0,24196.0,27.2,91.0,128.67,1.0,35.71
594,OCPNO4569,OCPNO4569-210822,EL DORADO,LÓTICO (HUMEDAL),2022-08-17,2022,10.0,727.0,134.0,77.7,2.0,10.0,1.0,1.0
595,OCPNO4570M1,OCPNO4570M1-210822,RH10-3 SINALOA,LÓTICO (HUMEDAL),2022-08-15,2022,10.0,2752.0,120.0,65.7,2.0,10.0,1.0,1.0
596,OCPNO4573,OCPNO4573-210822,RIO SAN LORENZO 5,LÓTICO (HUMEDAL),2022-08-17,2022,12.4,8164.0,5172.0,66.3,2.0,10.0,1.0,1.0
597,OCPNO4574,OCPNO4574-210822,RIO SAN LORENZO 6,LÓTICO (HUMEDAL),2022-08-17,2022,41.1,2359.0,520.0,81.3,2.0,10.0,1.0,1.0
598,OCPNO4579,OCPNO4579-210822,RIO SAN LORENZO 8,LÓTICO,2022-08-18,2022,10.5,2613.0,20.0,119.8,2.0,10.0,1.0,1.0
599,OCPNO4576,OCPNO4576-210822,PUENTE SAN LORENZO (PUENTE CARRETERA INTERNACIONAL),LÓTICO,2022-08-18,2022,114.1,19863.0,1014.0,96.8,11.3,14.21,1.0,1.0
600,OCPNO4578,OCPNO4578-210822,RIO SAN LORENZO 7,LÓTICO,2022-08-18,2022,15.8,5172.0,2723.0,120.7,2.0,10.0,1.0,1.0
601,OCPNO4586,OCPNO4586-040922,RIO ELOTA 6,LÓTICO,2022-08-31,2022,801.0,528.0,75.0,116.2,7.1,10.0,1.0,1.0
602,OCPNO4587,OCPNO4587-040922,RIO ELOTA SALIDA DE PRESA EL SALTO,LÓTICO,2022-08-31,2022,10.0,2613.0,86.0,99.3,4.62,12.42,1.0,1.0
603,OCPNO4585,OCPNO4585-310722,RIO ELOTA 7,LÓTICO,2022-07-31,2022,230.2,15531.0,471.0,106.1,5.9,10.92,1.0,1.0
604,OCPNO4592,OCPNO4592-040922,RIO ELOTA 3,LÓTICO (HUMEDAL),2022-08-31,2022,17.8,12033.0,537.0,82.9,9.6,13.25,1.0,1.0
605,OCPNO4593,OCPNO4593-040922,PUENTE INTERNACIONAL. (PUENTE ELOTA),LÓTICO (HUMEDAL),2022-10-28,2022,12.0,24196.0,19863.0,93.4,4.56,14.14,1.0,1.0
606,OCPNO4597,OCPNO4597-040922,RIO ELOTA 1,LÓTICO,2022-10-26,2022,174.2,3873.0,520.0,86.3,2.0,10.0,1.0,1.0
607,OCPNO4594,OCPNO4594-040922,RIO ELOTA 2,LÓTICO (HUMEDAL),2022-10-27,2022,22.0,63.0,20.0,91.1,2.0,12.48,1.0,1.0
609,OCPNO4598,OCPNO4598-040922,LA CRUZ,LÓTICO (HUMEDAL),2022-10-28,2022,28.8,24196.0,142.0,90.8,4.32,15.81,1.0,1.0
610,OCPNO4604,OCPNO4604-250922,RIO PIAXTLA 1,LÓTICO (HUMEDAL),2022-09-23,2022,448.8,24196.0,2247.0,111.3,4.1,26.04,1.0,1.0
611,OCPNO4610,OCPNO4610-250922,RIO PIAXTLA 3,LÓTICO,2022-10-14,2022,10.0,24196.0,24196.0,97.2,2.0,10.0,1.0,1.0
612,OCPNO4607,OCPNO4607-250922,DESEMBOCADURA RIO PIAXTLA,LÓTICO - COSTERO (HUMEDAL),2022-10-10,2022,13.9,3654.0,295.0,96.1,2.0,10.0,1.0,1.0
613,OCPNO4609,OCPNO4609-250922,RIO PIAXTLA CARRETERA INTERNACIONAL,LÓTICO,2022-10-10,2022,18.7,2014.0,288.0,107.3,2.0,10.0,1.0,1.0
614,OCPNO4605,OCPNO4605-250922,DIMAS,LÓTICO (HUMEDAL),2022-09-23,2022,450.0,24196.0,8164.0,104.8,2.0,23.52,1.0,1.0
615,OCPNO4613,OCPNO4613-250922,RIO PIAXTLA 4,LÓTICO (HUMEDAL),2022-10-13,2022,10.0,24196.0,41.0,95.7,2.0,10.0,1.0,1.0
616,OCPNO4615,OCPNO4615-250922,RIO PRESIDIO 5,LÓTICO (HUMEDAL),2022-09-22,2022,21.7,1872.0,20.0,107.0,2.0,25.2,1.0,1.0
617,OCPNO4611,OCPNO4611-250922,RIO PIAXTLA 2,LÓTICO (HUMEDAL),2022-10-13,2022,10.0,24196.0,24196.0,99.4,2.0,16.88,1.0,1.0
618,OCPNO4616,OCPNO4616-250922,RIO PRESIDIO 4,LÓTICO,2022-09-22,2022,20.3,3654.0,122.0,103.8,2.0,10.92,1.0,1.0
619,OCPNO4617,OCPNO4617-250922,RIO PRESIDIO 3,LÓTICO (HUMEDAL),2022-09-22,2022,35.4,15531.0,2909.0,110.0,2.0,12.6,1.0,1.0
620,OCPNO4620,OCPNO4620-250922,RIO PRESIDIO 2,LÓTICO,2022-09-22,2022,49.3,4884.0,2143.0,107.2,2.0,22.68,1.0,1.0
621,OCPNO4623,OCPNO4623-250922,PUENTE VILLA UNION,LÓTICO,2022-09-19,2022,515.0,57940.0,7230.0,95.5,2.0,25.08,1.0,1.0
622,OCPNO4622,OCPNO4622-250922,RIO PRESIDIO 1,LÓTICO,2022-09-19,2022,568.0,81640.0,9330.0,101.1,5.0,71.77,1.0,1.0
623,OCPNO4624,OCPNO4624-250922,EL WALAMO,LÓTICO (HUMEDAL),2022-10-13,2022,50.5,2613.0,359.0,89.0,4.8,10.0,1.0,1.0
624,OCPNO4638,OCPNO4638-180922,DESEMBOCADURA RIO BALUARTE,LÓTICO - COSTERO (HUMEDAL),2022-09-16,2022,158.0,7270.0,1124.0,104.2,2.0,10.0,1.0,1.0
625,OCPNO4640,OCPNO4640-180922,CHAMETLA,LÓTICO (HUMEDAL),2022-09-15,2022,150.5,24196.0,3076.0,106.4,2.0,10.0,1.0,1.0
626,OCPNO4651,OCPNO4651-180922,AGUAS DEBAJO DE LA DESCARGA DE LA CD. EL ROSARIO,LÓTICO (HUMEDAL),2022-09-13,2022,211.8,173290.0,61310.0,100.9,6.6,16.88,1.0,1.0
627,OCPNO4652,OCPNO4652-180922,BALUARTE (PUENTE EL ROSARIO),LÓTICO (HUMEDAL),2022-09-13,2022,176.3,34480.0,1680.0,102.0,4.5,10.0,1.0,1.0
628,OCPNO4653,OCPNO4653-180922,RIO BALUARTE 4,LÓTICO,2022-09-13,2022,23.6,24196.0,1296.0,106.7,2.0,10.0,1.0,1.0
629,OCPNO4654,OCPNO4654-180922,RIO BALUARTE 5,LÓTICO,2022-09-13,2022,10.0,2909.0,177.0,123.2,2.0,10.0,1.0,1.0
630,OCPNO4676,OCPNO4676-280822,RIO SINALOA 2,LÓTICO,2022-08-23,2022,167.5,3255.0,2046.0,102.2,11.9,15.81,1.0,1.0
